Iterations,Activation,Dropout,Optimizer,lr_decay_val,Weight_Initialization,Train_loss,Train_accuracy,Test_loss,Test_accuracy
51,LeakyReLU,0.5,Adagrad,0.1,RandomUniform,14.66182524,0.09035,14.68036102,0.0892
52,LeakyReLU,0.5,Adagrad,0.5,glorot_uniform,14.54872997,0.097366667,14.53529824,0.0982
53,LeakyReLU,0.5,Adagrad,0.5,RandomUniform,14.6599448,0.090466667,14.67874921,0.0893
54,LeakyReLU,0.5,RMSprop,0.01,glorot_uniform,0.020891074,0.99375,0.026997171,0.9913
55,LeakyReLU,0.5,RMSprop,0.01,RandomUniform,0.022677565,0.9929,0.028585653,0.9902
56,LeakyReLU,0.5,RMSprop,0.1,glorot_uniform,14.5283137,0.098633333,14.57398165,0.0958
57,LeakyReLU,0.5,RMSprop,0.1,RandomUniform,1.99019116,0.847283333,1.921220475,0.8563
58,LeakyReLU,0.5,RMSprop,0.5,glorot_uniform,14.67471971,0.08955,14.69325549,0.0884
59,LeakyReLU,0.5,RMSprop,0.5,RandomUniform,13.5738541,0.15785,13.58433085,0.1572
100,linear,0.2,SGD,0.01,glorot_uniform,0.107141199,0.967766667,0.100002509,0.9676
101,linear,0.2,SGD,0.01,RandomUniform,0.244069326,0.9279,0.233973935,0.9322
102,linear,0.2,SGD,0.1,glorot_uniform,0.085684157,0.974916667,0.07686539,0.9756
103,linear,0.2,SGD,0.1,RandomUniform,0.18712115,0.9456,0.175157424,0.9466
104,linear,0.2,SGD,0.5,glorot_uniform,0.087046067,0.974216667,0.07904486,0.9761
105,linear,0.2,SGD,0.5,RandomUniform,0.154455192,0.953783333,0.142453263,0.9558
106,linear,0.2,Adadelta,0.01,glorot_uniform,1.352772431,0.724183333,1.333008433,0.7435
107,linear,0.2,Adadelta,0.01,RandomUniform,2.302114596,0.112366667,2.302084087,0.1135
108,linear,0.2,Adadelta,0.1,glorot_uniform,0.932077346,0.7906,0.906141613,0.8011
109,linear,0.2,Adadelta,0.1,RandomUniform,2.301321253,0.112383333,2.301309648,0.1135
110,linear,0.2,Adadelta,0.5,glorot_uniform,0.79550358,0.815216667,0.763965332,0.8288
111,linear,0.2,Adadelta,0.5,RandomUniform,2.301523697,0.112366667,2.30148299,0.1135
112,linear,0.2,Adam,0.01,glorot_uniform,0.027019341,0.991883333,0.036261391,0.9883
113,linear,0.2,Adam,0.01,RandomUniform,0.028303074,0.991583333,0.034228271,0.9889
114,linear,0.2,Adam,0.1,glorot_uniform,14.30695861,0.112366667,14.28869145,0.1135
115,linear,0.2,Adam,0.1,RandomUniform,14.52697056,0.098716667,14.53852184,0.098
116,linear,0.2,Adam,0.5,glorot_uniform,14.43509743,0.104416667,14.46115503,0.1028
117,linear,0.2,Adam,0.5,RandomUniform,12.83725718,0.20355,12.84612215,0.203
118,linear,0.2,Adagrad,0.01,glorot_uniform,0.104530508,0.969283333,0.09871313,0.969
119,linear,0.2,Adagrad,0.01,RandomUniform,0.121289067,0.964083333,0.109681258,0.9664
120,linear,0.2,Adagrad,0.1,glorot_uniform,14.43509743,0.104416667,14.46115503,0.1028
121,linear,0.2,Adagrad,0.1,RandomUniform,14.51756834,0.0993,14.45470776,0.1032
122,linear,0.2,Adagrad,0.5,glorot_uniform,14.51756834,0.0993,14.45470776,0.1032
123,linear,0.2,Adagrad,0.5,RandomUniform,14.30695861,0.112366667,14.28869145,0.1135
124,linear,0.2,RMSprop,0.01,glorot_uniform,14.51998605,0.09915,14.49177937,0.1009
125,linear,0.2,RMSprop,0.01,RandomUniform,0.024988758,0.992666667,0.035597572,0.9876
126,linear,0.2,RMSprop,0.1,glorot_uniform,14.66182524,0.09035,14.68036102,0.0892
127,linear,0.2,RMSprop,0.1,RandomUniform,14.51998605,0.09915,14.49177937,0.1009
128,linear,0.2,RMSprop,0.5,glorot_uniform,14.51729971,0.099316667,14.45470776,0.1032
129,linear,0.2,RMSprop,0.5,RandomUniform,14.66182524,0.09035,14.68036102,0.0892
130,linear,0.5,SGD,0.01,glorot_uniform,0.140843052,0.958716667,0.128327456,0.9625
131,linear,0.5,SGD,0.01,RandomUniform,0.374399388,0.89205,0.356404312,0.8991
132,linear,0.5,SGD,0.1,glorot_uniform,0.137105136,0.959366667,0.123547868,0.9627
133,linear,0.5,SGD,0.1,RandomUniform,0.254932614,0.9257,0.241394283,0.9288
134,linear,0.5,SGD,0.5,glorot_uniform,14.30695861,0.112366667,14.28869145,0.1135
135,linear,0.5,SGD,0.5,RandomUniform,0.183198281,0.9472,0.171593314,0.9481
136,linear,0.5,Adadelta,0.01,glorot_uniform,1.74955343,0.597633333,1.735432279,0.6007
137,linear,0.5,Adadelta,0.01,RandomUniform,2.302168653,0.1124,2.302155042,0.1135
138,linear,0.5,Adadelta,0.1,glorot_uniform,1.41463051,0.763383333,1.397481738,0.7702
139,linear,0.5,Adadelta,0.1,RandomUniform,2.30213351,0.112366667,2.302120626,0.1135
140,linear,0.5,Adadelta,0.5,glorot_uniform,1.292535587,0.727883333,1.275021763,0.7419
141,linear,0.5,Adadelta,0.5,RandomUniform,2.301659082,0.112366667,2.301640929,0.1135
142,linear,0.5,Adam,0.01,glorot_uniform,0.069035814,0.979016667,0.062949222,0.9801
143,linear,0.5,Adam,0.01,RandomUniform,0.075800999,0.97745,0.068539694,0.9777
144,linear,0.5,Adam,0.1,glorot_uniform,14.54872997,0.097366667,14.53529824,0.0982
145,linear,0.5,Adam,0.1,RandomUniform,14.54631226,0.097516667,14.54819266,0.0974
146,linear,0.5,Adam,0.5,glorot_uniform,14.54631226,0.097516667,14.54819266,0.0974
147,linear,0.5,Adam,0.5,RandomUniform,14.47109451,0.102183333,14.49016753,0.101
148,linear,0.5,Adagrad,0.01,glorot_uniform,0.156375067,0.953666667,0.141673181,0.9565
149,linear,0.5,Adagrad,0.01,RandomUniform,0.180330274,0.947216667,0.16501004,0.9482
150,linear,0.5,Adagrad,0.1,glorot_uniform,14.66182524,0.09035,14.68036102,0.0892
151,linear,0.5,Adagrad,0.1,RandomUniform,14.30695861,0.112366667,14.28869145,0.1135
152,linear,0.5,Adagrad,0.5,glorot_uniform,14.30695861,0.112366667,14.28869145,0.1135
153,linear,0.5,Adagrad,0.5,RandomUniform,12.9447127,0.196783333,12.95572523,0.1962
154,linear,0.5,RMSprop,0.01,glorot_uniform,14.30695861,0.112366667,14.28869145,0.1135
155,linear,0.5,RMSprop,0.01,RandomUniform,0.072774177,0.9785,0.06795853,0.9777
156,linear,0.5,RMSprop,0.1,glorot_uniform,14.30695861,0.112366667,14.28869145,0.1135
157,linear,0.5,RMSprop,0.1,RandomUniform,14.51783698,0.099283333,14.45309595,0.1033
158,linear,0.5,RMSprop,0.5,glorot_uniform,14.47109451,0.102183333,14.49016753,0.101
159,linear,0.5,RMSprop,0.5,RandomUniform,14.43509743,0.104416667,14.46115503,0.1028
300,relu,0.2,SGD,0.01,glorot_uniform,0.090239444,0.972233333,0.08419138,0.9728
301,relu,0.2,SGD,0.01,RandomUniform,2.287950625,0.112383333,2.287439823,0.1135
302,relu,0.2,SGD,0.1,glorot_uniform,0.077784548,0.97635,0.071509414,0.977
303,relu,0.2,SGD,0.1,RandomUniform,0.358594448,0.89915,0.340638964,0.9059
304,relu,0.2,SGD,0.5,glorot_uniform,2.301159277,0.112366667,2.301021397,0.1135
305,relu,0.2,SGD,0.5,RandomUniform,0.211499602,0.93865,0.196982544,0.943
306,relu,0.2,Adadelta,0.01,glorot_uniform,2.056340389,0.50045,2.054264886,0.5027
307,relu,0.2,Adadelta,0.01,RandomUniform,2.302346898,0.112366667,2.302335107,0.1135
308,relu,0.2,Adadelta,0.1,glorot_uniform,1.938456338,0.6331,1.931747162,0.6521
309,relu,0.2,Adadelta,0.1,RandomUniform,2.302153585,0.112366667,2.302142062,0.1135
310,relu,0.2,Adadelta,0.5,glorot_uniform,1.941111758,0.48995,1.936883507,0.4873
311,relu,0.2,Adadelta,0.5,RandomUniform,2.302162798,0.112366667,2.302137801,0.1135
312,relu,0.2,Adam,0.01,glorot_uniform,0.003741685,0.999183333,0.021457492,0.9932
313,relu,0.2,Adam,0.01,RandomUniform,0.006532256,0.99845,0.019687754,0.9931
314,relu,0.2,Adam,0.1,glorot_uniform,2.30115928,0.112366667,2.301025502,0.1135
315,relu,0.2,Adam,0.1,RandomUniform,0.051319862,0.985983333,0.062059572,0.9811
316,relu,0.2,Adam,0.5,glorot_uniform,14.51756834,0.0993,14.45470776,0.1032
317,relu,0.2,Adam,0.5,RandomUniform,14.52697056,0.098716667,14.53852184,0.098
318,relu,0.2,Adagrad,0.01,glorot_uniform,0.079533717,0.976283333,0.068110429,0.9787
319,relu,0.2,Adagrad,0.01,RandomUniform,0.13478129,0.96035,0.127174629,0.961
320,relu,0.2,Adagrad,0.1,glorot_uniform,14.47109451,0.102183333,14.49016753,0.101
321,relu,0.2,Adagrad,0.1,RandomUniform,2.2082169,0.18825,2.204312809,0.1939
322,relu,0.2,Adagrad,0.5,glorot_uniform,14.52697056,0.098716667,14.53852184,0.098
323,relu,0.2,Adagrad,0.5,RandomUniform,14.54631226,0.097516667,14.54819266,0.0974
324,relu,0.2,RMSprop,0.01,glorot_uniform,0.003930898,0.99905,0.022094381,0.9922
325,relu,0.2,RMSprop,0.01,RandomUniform,0.008637019,0.997666667,0.020744773,0.9934
326,relu,0.2,RMSprop,0.1,glorot_uniform,14.52697056,0.098716667,14.53852184,0.098
327,relu,0.2,RMSprop,0.1,RandomUniform,14.51998605,0.09915,14.49177937,0.1009
328,relu,0.2,RMSprop,0.5,glorot_uniform,14.66182524,0.09035,14.68036102,0.0892
329,relu,0.2,RMSprop,0.5,RandomUniform,14.51998605,0.09915,14.49177937,0.1009
330,relu,0.5,SGD,0.01,glorot_uniform,0.148260248,0.959266667,0.136376337,0.9603
331,relu,0.5,SGD,0.01,RandomUniform,2.296252349,0.112366667,2.295992073,0.1135
332,relu,0.5,SGD,0.1,glorot_uniform,0.131137471,0.96045,0.120844972,0.9634
333,relu,0.5,SGD,0.1,RandomUniform,0.616361144,0.830783333,0.599156701,0.8373
334,relu,0.5,SGD,0.5,glorot_uniform,0.792135699,0.8138,0.769604556,0.8265
335,relu,0.5,SGD,0.5,RandomUniform,0.229158248,0.9378,0.218036325,0.9412
336,relu,0.5,Adadelta,0.01,glorot_uniform,2.247296929,0.358433333,2.247378036,0.355
337,relu,0.5,Adadelta,0.01,RandomUniform,2.30235811,0.112366667,2.302352671,0.1135
338,relu,0.5,Adadelta,0.1,glorot_uniform,2.164656144,0.447216667,2.163627447,0.4429
339,relu,0.5,Adadelta,0.1,RandomUniform,2.302265622,0.112366667,2.302258164,0.1135
340,relu,0.5,Adadelta,0.5,glorot_uniform,2.118480429,0.5792,2.114676093,0.5934
341,relu,0.5,Adadelta,0.5,RandomUniform,2.301847136,0.1177,2.301847843,0.1176
342,relu,0.5,Adam,0.01,glorot_uniform,0.025488105,0.992833333,0.02981478,0.9906
343,relu,0.5,Adam,0.01,RandomUniform,0.034433623,0.989783333,0.037612062,0.9871
344,relu,0.5,Adam,0.1,glorot_uniform,2.301159317,0.112366667,2.301016188,0.1135
345,relu,0.5,Adam,0.1,RandomUniform,2.301159401,0.112366667,2.301016633,0.1135
346,relu,0.5,Adam,0.5,glorot_uniform,14.54872997,0.097366667,14.53529824,0.0982
347,relu,0.5,Adam,0.5,RandomUniform,14.47109451,0.102183333,14.49016753,0.101
348,relu,0.5,Adagrad,0.01,glorot_uniform,0.112393773,0.968533333,0.103902296,0.9702
349,relu,0.5,Adagrad,0.01,RandomUniform,0.190326486,0.945933333,0.180617001,0.9476
350,relu,0.5,Adagrad,0.1,glorot_uniform,2.301160505,0.112366667,2.301035883,0.1135
351,relu,0.5,Adagrad,0.1,RandomUniform,0.295159954,0.92715,0.28086699,0.9318
352,relu,0.5,Adagrad,0.5,glorot_uniform,14.51756834,0.0993,14.45470776,0.1032
353,relu,0.5,Adagrad,0.5,RandomUniform,14.47109451,0.102183333,14.49016753,0.101
354,relu,0.5,RMSprop,0.01,glorot_uniform,0.023194224,0.9934,0.027684475,0.9919
355,relu,0.5,RMSprop,0.01,RandomUniform,0.036540137,0.989116667,0.040841876,0.9872
356,relu,0.5,RMSprop,0.1,glorot_uniform,14.52697056,0.098716667,14.53852184,0.098
357,relu,0.5,RMSprop,0.1,RandomUniform,14.52697056,0.098716667,14.53852184,0.098
358,relu,0.5,RMSprop,0.5,glorot_uniform,14.5283137,0.098633333,14.57398165,0.0958
359,relu,0.5,RMSprop,0.5,RandomUniform,14.51998605,0.09915,14.49177937,0.1009
400,tanh,0.2,SGD,0.01,glorot_uniform,0.130168535,0.961666667,0.120086782,0.9638
401,tanh,0.2,SGD,0.01,RandomUniform,0.376593573,0.8955,0.358040967,0.8995
402,tanh,0.2,SGD,0.1,glorot_uniform,0.107781914,0.968483333,0.101250448,0.9674
403,tanh,0.2,SGD,0.1,RandomUniform,0.244029196,0.931266667,0.227794141,0.9364
404,tanh,0.2,SGD,0.5,glorot_uniform,0.110320259,0.966566667,0.104012988,0.9666
405,tanh,0.2,SGD,0.5,RandomUniform,0.195228667,0.943566667,0.181384527,0.9469
406,tanh,0.2,Adadelta,0.01,glorot_uniform,1.426103692,0.701416667,1.407023287,0.7219
407,tanh,0.2,Adadelta,0.01,RandomUniform,2.302071558,0.138933333,2.302058526,0.1416
408,tanh,0.2,Adadelta,0.1,glorot_uniform,1.319528354,0.759083333,1.301983503,0.7688
409,tanh,0.2,Adadelta,0.1,RandomUniform,2.301653067,0.112366667,2.301620459,0.1135
410,tanh,0.2,Adadelta,0.5,glorot_uniform,1.131456195,0.764366667,1.113415995,0.7735
411,tanh,0.2,Adadelta,0.5,RandomUniform,2.301820925,0.112366667,2.301772076,0.1135
412,tanh,0.2,Adam,0.01,glorot_uniform,0.001865573,0.999716667,0.028873648,0.9913
413,tanh,0.2,Adam,0.01,RandomUniform,0.001738894,0.999766667,0.027259979,0.9906
414,tanh,0.2,Adam,0.1,glorot_uniform,0.271599115,0.9461,0.263864059,0.9472
415,tanh,0.2,Adam,0.1,RandomUniform,1.697135026,0.312416667,1.692399977,0.3122
416,tanh,0.2,Adam,0.5,glorot_uniform,7.673013232,0.104416667,7.643724861,0.1028
417,tanh,0.2,Adam,0.5,RandomUniform,8.486098086,0.344783333,8.456739764,0.3473
418,tanh,0.2,Adagrad,0.01,glorot_uniform,0.086899181,0.974283333,0.07944709,0.975
419,tanh,0.2,Adagrad,0.01,RandomUniform,0.103533891,0.9692,0.098539216,0.9697
420,tanh,0.2,Adagrad,0.1,glorot_uniform,0.253675265,0.928466667,0.247598986,0.93
421,tanh,0.2,Adagrad,0.1,RandomUniform,2.0581794,0.28415,2.057977143,0.2881
422,tanh,0.2,Adagrad,0.5,glorot_uniform,11.68383392,0.09915,11.65579602,0.1009
423,tanh,0.2,Adagrad,0.5,RandomUniform,7.341461263,0.112366667,7.365277678,0.1135
424,tanh,0.2,RMSprop,0.01,glorot_uniform,0.001350198,0.99975,0.029994731,0.9909
425,tanh,0.2,RMSprop,0.01,RandomUniform,0.001830033,0.999716667,0.028636257,0.9905
426,tanh,0.2,RMSprop,0.1,glorot_uniform,11.11983756,0.309416667,11.08657691,0.311
427,tanh,0.2,RMSprop,0.1,RandomUniform,1.981538015,0.840866667,1.998650567,0.8385
428,tanh,0.2,RMSprop,0.5,glorot_uniform,14.52697056,0.098716667,14.53852184,0.098
429,tanh,0.2,RMSprop,0.5,RandomUniform,14.52697056,0.098716667,14.53852184,0.098
430,tanh,0.5,SGD,0.01,glorot_uniform,0.159863721,0.951933333,0.147384556,0.9543
431,tanh,0.5,SGD,0.01,RandomUniform,0.483973139,0.86405,0.465458405,0.8713
432,tanh,0.5,SGD,0.1,glorot_uniform,0.170687714,0.948033333,0.15929122,0.9513
433,tanh,0.5,SGD,0.1,RandomUniform,0.281614246,0.91945,0.264154159,0.9242
434,tanh,0.5,SGD,0.5,glorot_uniform,0.148733075,0.95525,0.139405324,0.9563
435,tanh,0.5,SGD,0.5,RandomUniform,0.212541859,0.93915,0.195983104,0.942
436,tanh,0.5,Adadelta,0.01,glorot_uniform,1.9342463,0.584716667,1.929761799,0.5913
437,tanh,0.5,Adadelta,0.01,RandomUniform,2.302084998,0.113216667,2.302068808,0.1144
438,tanh,0.5,Adadelta,0.1,glorot_uniform,1.730499776,0.585583333,1.713906847,0.6024
439,tanh,0.5,Adadelta,0.1,RandomUniform,2.30158508,0.126716667,2.301559427,0.1274
440,tanh,0.5,Adadelta,0.5,glorot_uniform,1.568269483,0.703366667,1.552569995,0.7242
441,tanh,0.5,Adadelta,0.5,RandomUniform,2.301914838,0.112366667,2.301904066,0.1135
442,tanh,0.5,Adam,0.01,glorot_uniform,0.019042892,0.99425,0.031595931,0.9884
443,tanh,0.5,Adam,0.01,RandomUniform,0.018467066,0.99445,0.031416636,0.9891
444,tanh,0.5,Adam,0.1,glorot_uniform,1.744748629,0.335083333,1.728599952,0.3381
445,tanh,0.5,Adam,0.1,RandomUniform,1.841664925,0.356733333,1.839964135,0.3606
446,tanh,0.5,Adam,0.5,glorot_uniform,5.801034124,0.31225,5.741153795,0.3139
447,tanh,0.5,Adam,0.5,RandomUniform,6.142427787,0.17945,6.16281461,0.1778
448,tanh,0.5,Adagrad,0.01,glorot_uniform,0.125013848,0.962816667,0.118112929,0.963
449,tanh,0.5,Adagrad,0.01,RandomUniform,0.145059302,0.95665,0.137155773,0.9581
450,tanh,0.5,Adagrad,0.1,glorot_uniform,0.839193935,0.79425,0.832899372,0.7933
451,tanh,0.5,Adagrad,0.1,RandomUniform,0.907739632,0.76705,0.903720916,0.7604
452,tanh,0.5,Adagrad,0.5,glorot_uniform,9.006154527,0.104416667,8.987987965,0.1028
