Iterations,Activation,Dropout,Optimizer,lr_decay_val,Weight_Initialization,Train_loss,Train_accuracy,Test_loss,Test_accuracy
536,sigmoid,0.5,Adadelta,0.01,glorot_uniform,2.304171795,0.112366667,2.303697122,0.1135
537,sigmoid,0.5,Adadelta,0.01,RandomUniform,2.301519164,0.112366667,2.30132785,0.1135
538,sigmoid,0.5,Adadelta,0.1,glorot_uniform,2.30196848,0.112366667,2.302237468,0.1135
539,sigmoid,0.5,Adadelta,0.1,RandomUniform,2.30120162,0.112366667,2.301040484,0.1135
540,sigmoid,0.5,Adadelta,0.5,glorot_uniform,2.301052254,0.112366667,2.300955186,0.1135
541,sigmoid,0.5,Adadelta,0.5,RandomUniform,2.301222616,0.112366667,2.301056211,0.1135
542,sigmoid,0.5,Adam,0.01,glorot_uniform,0.06230799,0.9801,0.062897673,0.9788
543,sigmoid,0.5,Adam,0.01,RandomUniform,0.070262664,0.977566667,0.069881996,0.977
544,sigmoid,0.5,Adam,0.1,glorot_uniform,2.301162441,0.112366667,2.301000632,0.1135
545,sigmoid,0.5,Adam,0.1,RandomUniform,2.301159376,0.112366667,2.301023241,0.1135
546,sigmoid,0.5,Adam,0.5,glorot_uniform,8.890092299,0.112366667,8.876787029,0.1135
547,sigmoid,0.5,Adam,0.5,RandomUniform,8.897645321,0.112366667,8.950790775,0.1135
548,sigmoid,0.5,Adagrad,0.01,glorot_uniform,0.843589346,0.78075,0.826165966,0.7904
549,sigmoid,0.5,Adagrad,0.01,RandomUniform,1.015351321,0.7034,1.00807056,0.7092
550,sigmoid,0.5,Adagrad,0.1,glorot_uniform,2.301159214,0.112366667,2.301019527,0.1135
551,sigmoid,0.5,Adagrad,0.1,RandomUniform,2.30115926,0.112366667,2.301012165,0.1135
552,sigmoid,0.5,Adagrad,0.5,glorot_uniform,10.05277523,0.112366667,10.04930186,0.1135
553,sigmoid,0.5,Adagrad,0.5,RandomUniform,10.09188884,0.112366667,10.06991371,0.1135
554,sigmoid,0.5,RMSprop,0.01,glorot_uniform,0.053367954,0.982716667,0.052046805,0.9825
555,sigmoid,0.5,RMSprop,0.01,RandomUniform,0.080810653,0.974116667,0.078419216,0.9739
556,sigmoid,0.5,RMSprop,0.1,glorot_uniform,8.544036606,0.2074,8.543151575,0.2127
557,sigmoid,0.5,RMSprop,0.1,RandomUniform,8.700626477,0.112366667,8.696150442,0.1135
558,sigmoid,0.5,RMSprop,0.5,glorot_uniform,11.61923643,0.102183333,11.69028396,0.101
559,sigmoid,0.5,RMSprop,0.5,RandomUniform,14.30695861,0.112366667,14.28869145,0.1135
