0	60
1	30
2	43
3	42
4	51
5	77
6	123
7	196
8	330
9	567
10	999
11	1678
12	2776
13	3944
14	5349
15	7023
16	7709
17	8402
18	8610
19	8065
20	7750
21	7175
22	6717
23	6082
24	5606
25	5141
26	4422
27	4006
28	3565
29	3083
30	2784
31	2748
32	2529
33	2524
34	2558
35	2292
36	2169
37	2193
38	2104
39	2185
40	2144
41	2144
42	2183
43	2154
44	2068
45	2103
46	2109
47	2032
48	2024
49	1925
50	1947
51	1917
52	1876
53	1907
54	1867
55	1862
56	1856
57	1777
58	1729
59	1717
60	1614
61	1666
62	1685
63	1510
64	1534
65	1560
66	1526
67	1640
68	1524
69	1557
70	1615
71	1613
72	1616
73	1606
74	1591
75	1618
76	1665
77	1725
78	1772
79	1759
80	1795
81	1910
82	1903
83	2050
84	2124
85	2137
86	2225
87	2306
88	2430
89	2525
90	2742
91	2723
92	2845
93	3018
94	3067
95	3068
96	3250
97	3271
98	3215
99	3316
100	3432
101	3337
102	3435
103	3432
104	3408
105	3467
106	3199
107	3201
108	3105
109	3073
110	3090
111	3103
112	3059
113	2889
114	2873
115	2886
116	2879
117	2865
118	2833
119	2830
120	2823
121	2828
122	2951
123	2980
124	3104
125	3151
126	3339
127	3558
128	3644
129	3798
130	3999
131	4210
132	4323
133	4431
134	4584
135	4612
136	4786
137	4844
138	4821
139	4839
140	4871
141	4930
142	4945
143	4995
144	4892
145	4746
146	4835
147	4618
148	4619
149	4598
150	4385
151	4355
152	4209
153	4037
154	3923
155	3879
156	3843
157	3874
158	3701
159	3669
160	3618
161	3652
162	3626
163	3592
164	3723
165	3590
166	3619
167	3550
168	3767
169	3688
170	3616
171	3734
172	3712
173	3767
174	3664
175	3708
176	3695
177	3703
178	3808
179	3849
180	3846
181	3864
182	3808
183	3947
184	4029
185	3823
186	3872
187	4049
188	3966
189	3869
190	4053
191	3983
192	3940
193	4002
194	3853
195	3905
196	3836
197	3841
198	3749
199	3824
200	3797
201	3765
202	3801
203	3736
204	3760
205	3744
206	3641
207	3576
208	3502
209	3522
210	3368
211	3400
212	3287
213	3404
214	3223
215	3121
216	3041
217	2869
218	2704
219	2853
220	2464
221	2612
222	2464
223	2588
224	2406
225	2137
226	2052
227	1879
228	1857
229	1814
230	1638
231	1645
232	1436
233	1465
234	1387
235	1306
236	1202
237	1149
238	1060
239	1043
240	924
241	963
242	829
243	799
244	728
245	649
246	576
247	553
248	472
249	461
250	421
251	435
252	304
253	300
254	274
255	545
