0	10
1	10
2	14
3	40
4	59
5	174
6	332
7	486
8	716
9	901
10	1208
11	1533
12	1872
13	2385
14	2754
15	2783
16	2460
17	2358
18	2193
19	1989
20	1941
21	2064
22	2051
23	2123
24	2127
25	2212
26	2376
27	2445
28	2829
29	3321
30	4141
31	5331
32	6180
33	6761
34	6854
35	6384
36	5339
37	4629
38	4048
39	3679
40	3755
41	4223
42	4638
43	5024
44	4942
45	4512
46	4000
47	3273
48	2735
49	2409
50	2209
51	2070
52	1915
53	1961
54	1896
55	1845
56	1857
57	1843
58	1846
59	1731
60	1738
61	1666
62	1634
63	1511
64	1475
65	1401
66	1388
67	1457
68	1600
69	1596
70	1716
71	1783
72	1895
73	2118
74	2222
75	2398
76	2510
77	2701
78	2817
79	2907
80	3037
81	3272
82	3309
83	3352
84	3411
85	3359
86	3499
87	3441
88	3331
89	3398
90	3416
91	3357
92	3432
93	3586
94	3585
95	3512
96	3460
97	3462
98	3236
99	3273
100	3120
101	3195
102	3123
103	3076
104	3232
105	3193
106	3275
107	3233
108	3155
109	3328
110	3321
111	3466
112	3416
113	3505
114	3649
115	3810
116	3846
117	3914
118	3943
119	4096
120	4216
121	4340
122	4209
123	4546
124	4553
125	4519
126	4730
127	4655
128	4763
129	4862
130	4907
131	4865
132	5019
133	5050
134	4876
135	4872
136	4875
137	4964
138	4770
139	4713
140	4878
141	4954
142	4899
143	4941
144	5044
145	4980
146	4968
147	4981
148	4868
149	5118
150	4975
151	5023
152	5069
153	5021
154	4807
155	4687
156	4762
157	4644
158	4725
159	4572
160	4582
161	4614
162	4452
163	4364
164	4396
165	4476
166	4455
167	4491
168	4640
169	4638
170	4748
171	4633
172	4819
173	4891
174	4696
175	4950
176	4837
177	4770
178	4921
179	4711
180	4674
181	4594
182	4329
183	4108
184	3877
185	3800
186	3604
187	3388
188	3178
189	3100
190	3028
191	2885
192	2672
193	2612
194	2620
195	2564
196	2467
197	2333
198	2229
199	2186
200	2124
201	2023
202	1994
203	1964
204	1809
205	1843
206	1773
207	1725
208	1633
209	1662
210	1589
211	1527
212	1471
213	1469
214	1417
215	1377
216	1356
217	1312
218	1263
219	1235
220	1199
221	1179
222	1164
223	1106
224	1110
225	1091
226	1056
227	1064
228	998
229	964
230	954
231	979
232	932
233	946
234	898
235	894
236	820
237	835
238	891
239	819
240	903
241	838
242	834
243	744
244	729
245	722
246	672
247	658
248	574
249	618
250	525
251	541
252	662
253	828
254	1456
255	1726
